ClusterID,Markers,CellType,Comment,celltypecolor,,
0,,Mac,,#F39F07,,
1,,Bcell,,#D90767,,
2,,Mac,,#F39F07,,
3,,Other,,#000000,,
4,,Tcell,,#EB5D12,,
5,,Tcell,,#EB5D12,,
6,,Epi,,#09A64A,,
7,,Other,,#000000,,
8,,Other,Plasma,#000000,,
9,,Other,DC,#000000,,
10,,Neutr,,#8D2668,,
11,,Other,,#000000,,
12,,Other,,#000000,,
13,,Epi,,#09A64A,,
14,,Other,,#000000,,
15,,Other,,#000000,,
16,,Other,,#000000,,
17,,Other,,#000000,,
18,,Other,,#000000,,
19,,Other,,#000000,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,